from to fromMaxBalance fromExchangeRate toMaxBalance toExchangeRate
0 1 10.0 1.0 10.0 1.0
1 2 10.0 1.0 10.0 1.0
2 3 10.0 1.0 10.0 1.0
3 4 10.0 1.0 10.0 1.0
4 5 10.0 1.0 10.0 1.0
5 6 10.0 1.0 10.0 1.0
6 7 10.0 1.0 10.0 1.0
7 8 10.0 1.0 10.0 1.0
9 0 10.0 1.0 10.0 1.0
0 2 10.0 1.0 10.0 1.0
1 3 10.0 1.0 10.0 1.0
2 4 10.0 1.0 10.0 1.0
3 5 10.0 1.0 10.0 1.0
5 7 10.0 1.0 10.0 1.0
6 8 10.0 1.0 10.0 1.0
7 9 10.0 1.0 10.0 1.0
8 0 10.0 1.0 10.0 1.0
9 1 10.0 1.0 10.0 1.0
8 3 10.0 1.0 10.0 1.0
4 0 10.0 1.0 10.0 1.0
