from to fromMaxBalance fromExchangeRate toMaxBalance toExchangeRate
1 2 595 1.5806561422266843 718 1.216672200403939
2 3 900 3.1668979608448224 496 5.955344154731015
3 4 767 1.1073725444651064 701 5.4539048214370585
7 8 176 1.79399161411299 606 1.2743385682925603
12 13 719 2.218076068971612 84 4.636093479050078
13 14 269 4.675125396997352 394 5.004543474478051
16 17 969 2.521987004272022 91 2.6863525214913344
20 21 880 5.001913359040047 640 5.224439094245409
21 22 248 2.42381172397795 545 4.043740002132563
24 25 128 2.7439322976062677 393 5.4773893638229625
26 27 154 3.8407265691278907 906 2.1547066328460454
27 28 184 3.7364537681401035 537 2.3141615847775157
28 29 174 4.059251279270443 980 5.663896282474819
29 30 303 4.582295226078292 776 2.719057657337645
30 31 7 3.123404269492466 75 2.9002980710336956
31 32 897 5.045888957976721 60 1.996201008753882
33 34 397 4.707633500873594 737 4.8084147961066765
34 35 683 2.7825378260951155 148 5.623199444780905
35 36 930 4.4416453229834145 599 2.5859171572255306
37 38 242 5.885643471788073 319 5.2876848207791065
39 40 550 2.253054790810908 99 4.87339390792492
43 44 726 1.795928436825738 987 1.4493068240115128
44 45 750 2.914789502531742 863 4.551987434728766
47 48 444 4.388249523267495 526 3.3829134219804327
48 49 499 3.903449873587874 196 5.59172266984181
51 52 547 4.595104737177415 58 5.171162479179901
55 56 145 1.2487766649784562 558 2.4841614857668195
56 57 443 2.1177235928878426 241 4.68283314641544
58 59 775 5.346290613857544 716 4.8794152049995585
61 62 481 4.276352943351798 714 2.9620242460387716
62 63 212 5.396552264557602 589 1.3174825932385128
64 65 883 5.968969254039845 768 5.370567140151747
65 66 701 5.821952176178671 676 5.174487326256356
67 68 370 5.610221626826039 122 3.5663408265216514
68 69 393 1.0987606557032839 954 1.3573375266979795
69 70 711 4.341734444886039 923 2.0031863769595804
70 71 348 3.3623198710751883 412 3.01215175553802
71 72 406 4.4087238496295305 533 3.828647919959394
73 74 269 5.529717681372931 517 5.523547003274855
76 77 536 2.8399072829455276 448 3.192945695974937
78 79 279 1.084604144527981 118 1.7051552796165184
80 81 767 5.548712392775641 186 4.257184255637337
81 82 51 4.890803709813219 543 5.8320381234644945
86 87 824 3.0759852599498982 297 1.4432798571032548
88 89 332 2.09474926184558 909 1.0689278994877918
89 90 20 1.6967593111121795 156 4.446740349352345
90 91 792 2.294179095185468 192 4.8082269988495145
91 92 448 2.245588995235829 804 1.4557203626654516
93 94 619 1.146798021456157 657 5.346615935882494
95 96 498 2.931117632867081 538 4.423737446829007
97 98 246 4.007663510738629 46 5.480881969098315
98 99 667 5.471978348348701 683 1.8738502271754611
99 0 133 2.3574923831548458 289 2.880634687267735
0 2 22 4.224575372639719 165 2.175319374267698
1 3 221 2.696030688911274 786 4.270340098116637
2 4 603 1.0080026630241725 71 4.836554787925616
3 5 278 3.405673843959688 182 5.361685241459838
5 7 566 3.065966817815852 101 4.633768432317196
6 8 221 5.295779078771364 17 5.640134689481769
13 15 696 4.083928679516909 173 1.3552386991327006
17 19 353 1.9523048822196922 647 5.20133069645833
20 22 170 1.685824080252423 320 4.529626592924298
23 25 234 2.410555111692208 301 5.342493925113718
24 26 677 2.8513787859031874 635 1.4051297365613193
25 27 517 4.062241053633443 575 3.6097533348551916
28 30 141 4.211286081181781 641 4.6831878047756925
29 31 314 1.141716552230744 163 2.0635096413867107
30 32 349 2.671900885665684 110 2.8782044434611898
32 34 484 1.937771304147078 473 1.6298526596035114
34 36 165 2.4627660824566924 566 1.2366601445692107
35 37 964 3.53447620946008 488 1.0665605029565908
38 40 926 5.268415097589571 672 4.269454729714653
39 41 96 1.6199274223174145 599 1.4913542419134143
41 43 866 3.0583663452328893 568 3.263846721142724
43 45 553 1.4599201166137235 637 5.96498304182884
45 47 606 4.422804349960348 23 4.8234206500439525
47 49 974 4.508254608927816 538 2.0506517060554743
49 51 551 1.632774589818338 902 3.1056888543855967
57 59 178 3.7177708161715475 720 4.802069988935406
58 60 139 5.061248411557642 266 4.418107714845769
60 62 106 1.794673831252658 217 2.8985095574292465
61 63 962 5.848832746534305 964 3.041947483268507
62 64 554 1.7339899260567462 629 4.934572520093748
66 68 777 4.26604226901884 99 4.23802894781923
67 69 165 2.0365651421292785 337 2.0648073767409327
70 72 7 5.590994632679272 105 4.663218194667487
73 75 140 1.6947074731997116 420 3.575081465206215
78 80 530 1.8995581652829965 461 5.4018690135696135
79 81 296 3.5757641566026646 502 4.433270856176382
80 82 141 4.021073977747712 658 2.1084604519411965
82 84 428 1.8514127106286518 808 1.4581582266369277
83 85 380 4.352344552335119 964 1.4163004646725377
84 86 804 4.088277743039716 796 4.357973094675252
85 87 458 5.8579950027123004 257 4.324076578365169
87 89 227 5.98452093306303 60 3.8931029990801638
88 90 816 2.4399701670290477 664 5.639254245474673
90 92 457 2.8310353821867444 451 1.8554601808362783
91 93 140 5.381790702281067 572 4.733115079647989
95 97 323 5.89898687001477 113 2.2520192002303054
97 99 880 1.482144788817529 289 3.91967915325823
98 0 383 4.623843376393477 191 3.921709485583923
99 1 488 3.7087094686804782 649 4.0518470349388345
2 5 901 4.384108450036653 184 5.740302825311911
3 6 748 2.2737036032720717 910 1.6775102265389787
7 10 974 2.2939784528789575 594 4.640215025298749
8 11 3 4.294758242571873 4 2.1216554436522053
12 15 854 5.777547771013428 986 3.338135538919887
13 16 482 1.584905187700473 669 1.205582222279962
16 19 433 2.330054477774656 551 3.399126114029385
19 22 26 1.5948003438276661 273 5.696608577123237
21 24 627 3.6584701820361047 74 4.052639380726586
24 27 781 5.220066993297263 191 2.2583730569156315
25 28 515 5.160044830249989 283 4.308670048308086
26 29 105 1.241871918573573 893 1.493031706551047
28 31 882 1.4360049558285206 423 4.945892864932396
32 35 538 3.020146932129261 54 1.2158381846800927
33 36 876 2.0327564915782683 708 1.3962818296358495
34 37 561 1.4106852750851975 545 2.1199198102721306
36 39 848 1.3842282011564335 178 2.6073259251686514
39 42 175 4.482943057979235 533 1.4771668517084304
40 43 553 1.3087571870618255 269 2.5250909450336247
43 46 300 4.853954541604749 915 1.3097129634845663
45 48 964 4.238861181222335 710 1.9028823631025473
46 49 834 3.1020815150177485 334 1.338417997949908
48 51 724 1.9929267197965652 844 2.4541963499796253
53 56 221 4.0153446850084915 461 4.3832110496940535
55 58 97 4.821038283099835 860 3.7550647104849455
58 61 983 4.07484800845227 787 4.534026669550181
61 64 165 4.069604003056954 733 5.389060601179477
64 67 512 2.006405540091373 92 5.0944277999689405
68 71 351 3.14788669192974 883 3.1682243812510817
70 73 142 2.6292858684988354 61 3.135419960997167
72 75 298 5.506289231595105 482 3.1166950124484627
73 76 531 4.7299968799751895 591 1.0951964721479948
74 77 485 2.5946645506174564 712 3.9382392431078683
78 81 997 4.566901608317048 891 2.5342325625016295
80 83 929 5.484271567956322 788 1.831708923837805
83 86 949 3.364747302095067 924 1.3815677905829917
84 87 456 5.768303975835998 361 4.709079076669644
85 88 203 1.7408092450467807 740 5.286772764798831
87 90 197 3.4641898829979403 246 4.735744949590534
88 91 69 2.1047444262205874 288 5.601625564606891
89 92 696 3.206585503458091 5 5.140091320484073
90 93 452 5.069636129805576 805 2.3772054596936387
91 94 987 3.529791442010696 466 1.9318785960789333
92 95 552 2.0975668439742514 747 5.157039718354062
99 2 806 2.5813578913216153 398 2.7692926143712073
0 4 473 2.4718368104863613 562 4.518039250549493
3 7 936 1.2486540923764202 202 2.968193863810016
7 11 492 1.612846626256015 917 2.3986323450406424
8 12 889 5.898354631302741 631 4.839129581536136
10 14 692 5.885002113432907 230 5.45308753083558
12 16 328 1.5291531531987903 933 3.582715419017849
14 18 945 4.255513796424596 551 5.389852759054537
16 20 39 5.505217104312967 776 2.2543555354586546
18 22 750 3.795560395041167 317 2.5073159784145
19 23 41 3.3664672638613604 821 3.6898438545115066
23 27 255 1.6183843860827531 303 1.9174534603824636
24 28 867 3.621388712157795 297 2.936703718282847
28 32 529 1.8142535712255339 68 2.388010678743541
29 33 303 4.367227140823107 928 2.7589748549963122
30 34 761 2.2994717677636602 603 2.6248467841682004
34 38 821 1.4021826898140735 74 2.4205743726722577
36 40 813 5.904836052474729 518 3.065619282289374
37 41 194 4.639652063520997 918 3.1991605352746935
38 42 123 1.9929688969817518 883 1.343204590158408
39 43 552 2.444873711756464 849 4.053219942943795
40 44 154 3.384765597868209 114 4.234396434597188
45 49 74 1.128291659068046 886 1.7327537280254526
46 50 555 2.2444517484442406 467 2.6787809830863587
48 52 632 2.680169483061258 140 5.640581962345224
50 54 359 3.2024683684825863 501 3.088617445678395
57 61 869 3.6526649000036873 302 3.874843686628228
61 65 369 1.72384530821071 367 2.5583838264982033
62 66 891 2.1363754087714053 972 4.304893029302355
63 67 323 2.9714734683051938 599 4.822264817438938
66 70 931 3.395101201102862 526 4.168705325758429
67 71 154 4.619158407953704 895 2.7079323787604253
69 73 144 5.5924178355002425 252 2.893215056856137
71 75 340 4.8815015214112725 314 3.0511656994259972
74 78 679 5.85499038465189 969 5.596710158488143
76 80 451 5.750272882582451 277 1.727451185090634
77 81 49 1.9900057950866592 792 1.0316572047147945
79 83 954 3.6298388536710426 171 3.0046900488718022
83 87 24 4.351358648878634 590 1.4945034669464754
87 91 982 2.996647427144058 305 1.7862526185505458
88 92 929 1.209593057904257 596 5.669528894766825
89 93 366 2.416991340088465 800 4.535797708933217
90 94 313 4.701852766970441 287 2.6193983846243345
91 95 188 1.794156962349989 412 1.3768010867305205
93 97 590 2.239168483641464 347 5.100087116510338
94 98 376 3.486097698273324 682 2.663913439876805
96 0 604 5.053611905627418 878 4.446885717907309
98 2 10 4.706588184255853 174 2.4739315818763354
99 3 293 4.783402894324094 737 2.5277291537185222
1 6 37 5.538558535176204 8 5.703072371716514
